Date,Year,Channel,Owner,Brand,Pack Size,Pack Type,SKU,Price Tier,Unit Sales,Sales Value,Distribution,Cost of Sales,Price,Gross Profit,Indirect Costs,Operating Profit,Unit Sales Monthly Change,Sales Value Monthly Change,Distribution Monthly Change,Cost of Sales Monthly Change,Price Monthly Change,Gross Profit Monthly Change,Indirect Costs Monthly Change,Operating Profit Monthly Change
1/1/2011,11-Jan,Hypermarkets,1930-1945,Delta,12,Standard,Delta 12 Pack Standard,Budget,1765,1054053,97.25,242.48,54.08,95201.52,88884.12,6317.4,1765,95444,97.25,242.48,54.08,95201.52,88884.12,6317.4
1/1/2011,11-Jan,Hypermarkets,1945-1950,Eta,12,Standard,Eta 12 Pack Standard,Budget,673,891158,13.41,81.12,47.44,31848.88,29735.14,2113.74,673,31930,13.41,81.12,47.44,31848.88,29735.14,2113.74
1/1/2011,11-Jan,Hypermarkets,1951-1960,Omicron,8,Standard,Omicron 8 Pack Standard,Regular,1100,969910,99.16,232.52,83.2,91287.48,85230.37,6057.11,1100,91520,99.16,232.52,83.2,91287.48,85230.37,6057.11
1/1/2011,11-Jan,Hypermarkets,1961-1970,Omicron,12,Deluxe,Omicron 12 Pack Deluxe,Regular,548,1093921,89.68,124.24,89.24,48779.76,45542.54,3237.22,548,48904,89.68,124.24,89.24,48779.76,45542.54,3237.22
1/1/2011,11-Jan,Hypermarkets,1971-1980,Omicron,12,Giftset,Omicron 12 Pack Giftset,Regular,3307,1021594,98.19,684.61,81.48,268782.39,250946.65,17835.74,3307,269467,98.19,684.61,81.48,268782.39,250946.65,17835.74
1/1/2011,11-Jan,Hypermarkets,1981-1990,Omicron,12,Standard,Omicron 12 Pack Standard,Regular,9596,1284464,99.52,1682.63,69.02,660611.37,616775.54,43835.83,9596,662294,99.52,1682.63,69.02,660611.37,616775.54,43835.83
1/1/2011,11-Jan,Hypermarkets,1991-2000,Omicron,18,Standard,Omicron 18 Pack Standard,Regular,6629,1397047,96.28,1040.66,61.79,408571.34,381459.74,27111.6,6629,409612,96.28,1040.66,61.79,408571.34,381459.74,27111.6
1/1/2011,11-Jan,Hypermarkets,2001-2010,Sigma,12,Giftset,Sigma 12 Pack Giftset,Premium,695,1632893,71.18,268.66,152.16,105479.34,98480.32,6999.02,695,105748,71.18,268.66,152.16,105479.34,98480.32,6999.02
1/1/2011,11-Jan,Hypermarkets,2010-2016,Sigma,12,Standard,Sigma 12 Pack Standard,Premium,707,1943157,92.19,259.01,144.2,101690.99,94943.35,6747.64,707,101950,92.19,259.01,144.2,101690.99,94943.35,6747.64
1/1/2011,11-Jan,Hypermarkets,1930-1945,Tau,12,Standard,Tau 12 Pack Standard,Regular,1110,1076481,83.38,180.27,63.92,70774.73,66078.2,4696.53,1110,70955,83.38,180.27,63.92,70774.73,66078.2,4696.53
